"","species","trophic_level","Lmax","K","tm","benthic_pelagic_dummy","family","mu","lower95","upper95","lower50","upper50","nutrient"
"33","Chlorurus sordidus",-0.676013813565961,-0.689664053634148,1.68780949417943,0.0836271038576086,0,"Scaridae",32.4680861300499,27.0527709027168,39.3171268788172,30.5575858422636,34.678325187026,"Ca"
"34","Scarus psittacus",-1.37478570888922,-1.35184995439865,1.49017374886294,-0.365565151885554,0,"Scaridae",34.1830652972621,29.1475629454084,40.2514926289372,32.1156146089293,35.9500804277177,"Ca"
"35","Sargocentron spiniferum",0.428496601622412,-0.130451125454976,0.220762227607853,-1.10673237349119,0,"Holocentridae",33.8238320051656,25.6310742008992,44.6260467729205,31.5938212683548,36.8496831579221,"Ca"
"36","Ctenochaetus binotatus",-1.37478570888922,-2.06576382058108,1.39514868821654,0.173465554736726,0,"Acanthuridae",32.9680692475752,26.8828861505092,40.7559344616673,30.8358003924297,35.4884322467172,"Ca"
"37","Cantherhines pardalis",0.315791457215435,-1.77151727424746,0.932624782883853,-1.71314191844126,0,"Monacanthidae",32.1109169004783,23.5629914729255,41.5507058031386,29.9867664900248,35.8599603200472,"Ca"
"38","Scarus tricolor",-1.37478570888922,-1.62872436099715,1.1724803042566,-0.365565151885554,0,"Scaridae",35.5189276356468,30.1001635387856,42.8262270105562,33.2822800000717,37.6343814160076,"Ca"
"39","Scarus ghobban",-1.37478570888922,1.17693316288988,0.0649808554692869,-1.0393535351634,0,"Scaridae",34.8333018971898,29.2015680745222,41.28494645278,32.9425874301222,37.0957951987164,"Ca"
"40","Scarus rubroviolaceus",-1.37478570888922,0.598458217795066,-0.771601416559855,0.240844393064511,0,"Scaridae",37.1012714707466,30.7539860016424,45.2148856560493,34.7690018443547,39.6542545048348,"Ca"
"41","Calotomus carolinus",-1.37478570888922,0.00111597371217986,1.53852528364402,0.0836271038576086,0,"Labridae",30.1968866040281,24.7363235218863,36.7834990019513,28.2783209885134,32.3954297552499,"Ca"
"42","Zebrasoma desjardinii",-1.37478570888922,-0.689664053634148,0.040999048604872,0.173465554736726,0,"Acanthuridae",34.6613500726834,28.2617468728557,42.2519472103328,32.4030793256934,36.9099379751439,"Ca"
"43","Acanthurus mata",-1.01756317952189,-0.238829770642822,-0.618268110028405,-0.622624183166509,0,"Acanthuridae",0.740039804377727,0.507699250786274,1.00841422703189,0.647239232662096,0.814963457490244,"Fe"
"44","Aprion virescens",0.990974442390309,1.90293089506068,-1.27281896713428,0.643235272779154,1,"Lutjanidae",0.764477151610359,0.555453830916109,0.978035574356043,0.685359983621534,0.831774023470195,"Fe"
"45","Cephalopholis argus",0.832107059866181,0.245362200100591,0.393175542013414,-0.205939317019188,0,"Serranidae",0.587684992968967,0.45257240911112,0.737442080034416,0.541773515355706,0.633165448779872,"Fe"
"46","Cephalopholis miniata",0.990974442390309,-0.238829770642822,-1.62561847231549,2.05978464407294,0,"Serranidae",0.540425133834985,0.381071967160649,0.716658202108388,0.484210126899368,0.603078555357558,"Fe"
"47","Carangoides plagiotaenia",0.684587347522348,-0.238829770642822,0.935457664507717,-0.594450604178336,1,"Carangidae",0.870160015699996,0.523756241292563,1.63526056128723,0.67219385614301,0.957671709831353,"Fe"
"48","Epibulus insidiator",0.661892007161757,-0.0344440752075876,0.266803535608595,-0.221920128301856,0,"Labridae",0.652771993612179,0.472687938036199,0.841696337939716,0.59130798877921,0.708021233628576,"Fe"
"49","Epinephelus fasciatus",0.310114231572616,-0.831432849343024,-1.38123266855039,1.07741439287499,0,"Serranidae",0.559288126902292,0.386966977342843,0.747322445199956,0.485268235102791,0.613380543602357,"Fe"
"50","Epinephelus merra",1.08175580383267,-1.50835105279201,0.26298113944154,0.314916766250925,0,"Serranidae",0.542527957441396,0.404711043664379,0.688856076720974,0.489570820788315,0.585701779082411,"Fe"
"51","Cephalopholis sonnerati",0.43493860355586,0.109142425916141,0.393175542013414,-0.205939317019188,0,"Serranidae",0.59850495331117,0.462851601888989,0.744468034709907,0.553047337239469,0.645121486339164,"Fe"
"52","Aethaloperca rogaa",0.877497740587361,0.245362200100591,-0.508920941800584,0.247986759323753,0,"Serranidae",0.574725548421526,0.438652328369461,0.711945415115302,0.525857362899739,0.617851443720749,"Fe"
"53","Epinephelus longispinis",0.820759389685886,0.0142857939830253,-0.666835035238822,0.314916766250925,0,"Serranidae",0.570669908313106,0.433745128628697,0.709466663767253,0.515420575246027,0.610624848419495,"Fe"
"54","Epinephelus spilotoceps",0.618856503613022,-1.18605261722954,-0.666835035238822,0.314916766250925,0,"Serranidae",0.554183698915083,0.398673152547204,0.709996246168123,0.49502638088433,0.604844871585608,"Fe"
"55","Cheilinus fasciatus",-0.0643588843771151,-0.831432849343024,0.728851753239578,-0.221920128301856,0,"Labridae",0.668173263930101,0.500014019393893,0.839755619139344,0.611242054825341,0.720571637398398,"Fe"
"56","Cheilinus trilobatus",0.559763061781397,-0.518636045951002,1.60343623216826,-0.221920128301856,0,"Labridae",0.658797812176547,0.471223431028468,0.875589601771609,0.575787087365163,0.712280217914588,"Fe"
"57","Siganus argenteus",-0.904086348355497,-0.831432849343024,0.589421099339923,-1.53412232869389,0,"Siganidae",0.72064636110953,0.526066580260104,0.925523987656492,0.645642319226866,0.778633093637506,"Fe"
"58","Siganus sutor",-1.61898969907751,-0.518636045951002,1.20868020396378,-1.53412232869389,0,"Siganidae",0.766737985077946,0.559105725707369,0.970605932351023,0.693188617340185,0.830137584081059,"Fe"
"59","Lethrinus microdon",0.423590933375565,1.00936044615218,-0.751033971443082,-0.232231871661476,0,"Lethrinidae",0.738203476022757,0.546888891606223,0.936845714355605,0.66066427467514,0.793825909805666,"Fe"
"60","Lethrinus nebulosus",0.423590933375565,1.23212478489353,-0.826071718207988,-0.0197788422504892,0,"Lethrinidae",0.740810512554068,0.558896281910049,0.954206694446155,0.670099533168748,0.804441575501786,"Fe"
"61","Lethrinus variegatus",0.0831608279667184,-2.67222614483823,0.467440925958174,0.66812229728144,0,"Lethrinidae",0.674183703604095,0.491139749865319,0.876151387134968,0.59905644059363,0.729361138715332,"Fe"
"62","Lutjanus bohar",0.990974442390309,1.32215724954421,-1.90301762863328,2.95251582381297,0,"Lutjanidae",0.660737444694671,0.433774713931878,0.924325916573892,0.570472607189248,0.73079625154391,"Fe"
"63","Lutjanus fulviflamma",0.48032928427704,-1.18605261722954,0.856141967309901,-1.33880129756525,0,"Lutjanidae",0.692833618207725,0.513274488779629,0.902967321685814,0.617610287560522,0.746981829923552,"Fe"
"64","Lutjanus gibbus",0.764021038784411,-0.238829770642822,0.262981161385258,-1.35515123043897,0,"Lutjanidae",0.696062510775379,0.506380191502084,0.888142007185073,0.621241592391423,0.750641579890549,"Fe"
"65","Lethrinus enigmaticus",0.457633857674156,0.0142857939830253,-1.18167371679534,0.66812229728144,0,"Lethrinidae",0.70296451414275,0.547584397368321,0.867520985633729,0.641708095353698,0.752141190892228,"Fe"
"66","Lethrinus mahsena",-0.0303158738362306,0.457931887709652,-1.765049111586,2.35437172964177,0,"Lethrinidae",0.710394932136848,0.51991406226066,0.908975176573631,0.642820691308244,0.773976476323045,"Fe"
"67","Lutjanus vitta",0.355504923641466,-0.831432849343024,-0.063458820456844,-1.92476439095115,0,"Lutjanidae",0.700756316266816,0.488305384035022,0.928876006211155,0.61579283225883,0.763197800665167,"Fe"
"68","Lutjanus kasmira",0.537067635178514,-0.831432849343024,-0.665791577462821,-0.122130968982515,0,"Lutjanidae",0.671101990393732,0.501824734351883,0.857067996056042,0.605479615449528,0.723495665097742,"Fe"
"69","Lethrinus xanthochilus",0.423590933375565,0.654740678265672,-1.27281896713428,0.867663043966575,0,"Lethrinidae",0.716134072388696,0.553595985261067,0.890212630287449,0.66118726076029,0.776929018529941,"Fe"
"70","Oxycheilinus digramma",0.429264768465713,-0.831432849343024,0.266803535608595,-0.221920128301856,0,"Labridae",0.64491454550444,0.4717139236753,0.832461907618452,0.582439203409689,0.697019283523109,"Fe"
"71","Scarus falcipinnis",-1.61898969907751,0.245362200100591,1.16152359901137,-0.362196141922094,0,"Scaridae",0.79838448823517,0.637280489938986,1.00534768236183,0.728257359292623,0.851619588162849,"Fe"
"72","Scarus niger",-1.61898969907751,-0.831432849343024,1.15501609888813,-0.362196141922094,0,"Scaridae",0.771076860460479,0.620837943991032,0.94916107420434,0.705317879263673,0.819115079422546,"Fe"
"73","Chlorurus sordidus",-0.915434147899232,-0.831432849343024,1.73151864378136,0.158659941348019,0,"Scaridae",0.741758370223422,0.552105794987928,0.957921399998807,0.653781659944678,0.792919521243741,"Fe"
"74","Scarus psittacus",-1.61898969907751,-1.59543109539462,1.51291780047051,-0.362196141922094,0,"Scaridae",0.75731146625832,0.59185910854324,0.947024675180383,0.693452318148685,0.816271311285811,"Fe"
"75","Sargocentron spiniferum",0.196637529769667,-0.186239866821024,0.108847759342661,-1.22160867888808,0,"Holocentridae",0.667193157009258,0.394862616019806,0.955583021137168,0.588960587039236,0.746479066685567,"Fe"
"76","Ctenochaetus binotatus",-1.61898969907751,-2.41911058021239,1.4078125303702,0.262831157689528,0,"Acanthuridae",0.728995004066893,0.495694285188933,0.990958277180205,0.638977942993666,0.805417469695837,"Fe"
"77","Cantherhines pardalis",0.0831608279667184,-2.07962306613803,0.896224327561866,-1.92476439095115,0,"Monacanthidae",0.688429597059323,0.439638654660802,1.02288672213748,0.583258505321131,0.758093982362713,"Fe"
"78","Scarus tricolor",-1.61898969907751,-1.91487547011419,1.16152359901137,-0.362196141922094,0,"Scaridae",0.746737994191786,0.572371413026006,0.936633988692995,0.675196746285211,0.80050120140247,"Fe"
"79","Scarus ghobban",-1.61898969907751,1.32215724954421,-0.063458820456844,-1.14348026643662,0,"Scaridae",0.818116003862132,0.604999885840147,1.05517258227196,0.730771700227985,0.884513289185976,"Fe"
"80","Scarus rubroviolaceus",-1.61898969907751,0.654740678265672,-0.988785308697178,0.340959570140981,0,"Scaridae",0.775243780552427,0.564911556316065,1.01829496575383,0.696490627420278,0.850517038880101,"Fe"
"81","Calotomus carolinus",-1.61898969907751,-0.0344440752075876,1.56639844113899,0.158659941348019,0,"Labridae",0.753780402023046,0.530324897636122,0.994627268722598,0.672240923373437,0.826774497466955,"Fe"
"82","Zebrasoma desjardinii",-1.61898969907751,-0.831432849343024,-0.0899846050323196,0.262831157689528,0,"Acanthuridae",0.751149518671081,0.524212946644428,1.0058319158128,0.663077370055178,0.824317977788695,"Fe"
"83","Acanthurus mata",-1.01887859875394,-0.229646268609773,-0.614559672378722,-0.636159421447683,0,"Acanthuridae",24.7975901478381,15.7373430102013,34.6643068927143,21.0943456422938,27.455186993217,"Se"
"84","Aprion virescens",0.985775608955748,1.83097047555496,-1.27145276096705,0.627743164981322,1,"Lutjanidae",35.1236910730766,27.0421593788754,43.8248461698566,32.3550122035185,37.9397554696014,"Se"
"85","Cephalopholis argus",0.827215389136904,0.236201339052904,0.400503309068626,-0.220118700990302,0,"Serranidae",31.3006625062365,23.8427488337391,41.2414871518581,26.5219299366501,32.9186760159113,"Se"
"86","Cephalopholis miniata",0.985775608955748,-0.229646268609773,-1.62551471672648,2.04210271791059,0,"Serranidae",39.1764211414599,28.1096671232225,52.2544238829599,34.0708085473376,42.1211152337888,"Se"
"87","Carangoides plagiotaenia",0.679980899305119,-0.229646268609773,0.944725922887457,-0.608029395491909,1,"Carangidae",24.6654098710771,16.1710094615256,34.9470071515244,21.095162208712,27.5190815555644,"Se"
"88","Coris formosa",-0.0901688474094213,0.236201339052904,-1.21319882320935,-1.9362866739496,0,"Labridae",57.2410870091726,37.8918138389397,80.4730565380228,48.0600112366178,62.4597875508413,"Se"
"89","Epibulus insidiator",0.657329439330998,-0.0330040419475053,0.273679095644767,-0.236074807822327,0,"Labridae",39.2169683753434,30.1224525618235,49.6340125204487,35.4660602598788,42.0160008728082,"Se"
"90","Epinephelus fasciatus",0.306231809732127,-0.799797661418226,-1.38025440776865,1.0612510953326,0,"Serranidae",38.4650016322057,27.4497957309276,50.0568132167177,34.8039649662172,42.4000148856162,"Se"
"91","Epinephelus merra",1.07638144885223,-1.45106976982569,0.269843021492963,0.299932200166481,0,"Serranidae",39.4359880506053,29.8541964414895,49.7872635394167,35.6077855965414,42.4766434541075,"Se"
"92","Cephalopholis sonnerati",0.430814839589791,0.105142462089815,0.400503309068626,-0.220118700990302,0,"Serranidae",28.6458770173179,21.9341911502952,37.0126985014297,25.1440603271216,30.6249651982752,"Se"
"93","Aethaloperca rogaa",0.872518309085145,0.236201339052904,-0.50482121846674,0.233105659141222,0,"Serranidae",36.5491807180269,28.3599045436339,47.304353687307,32.1151422219012,38.9395542880472,"Se"
"94","Epinephelus longispinis",0.815889659149844,0.0138796206405139,-0.663300388487125,0.299932200166481,0,"Serranidae",38.0425702767767,29.2659485795125,48.6161531866306,33.6719272068361,40.4689881342527,"Se"
"95","Epinephelus spilotoceps",0.614377142929527,-1.14098210990502,-0.663300388487125,0.299932200166481,0,"Serranidae",41.6859150092614,31.6175628819427,53.0684572660338,37.7675869778186,44.9708203378718,"Se"
"96","Hemigymnus fasciatus",0.0797172099909193,0.971254327715991,0.273679095644767,-0.236074807822327,0,"Labridae",29.5276181252656,22.3289068399116,37.7630484925937,26.5406563722665,31.8633171833398,"Se"
"97","Cheilinus fasciatus",-0.0675172798408653,-0.799797661418226,0.737380697225977,-0.236074807822327,0,"Labridae",31.7755369458681,25.0180470883189,38.8633589427592,29.0313175652956,33.7383634239155,"Se"
"98","Cheilinus trilobatus",0.555397955523003,-0.498851649610184,1.61509477147697,-0.236074807822327,0,"Labridae",29.5873671054774,21.3400084435925,39.1052769772973,25.9344112498336,31.9607602370241,"Se"
"99","Siganus argenteus",-0.905621169770011,-0.799797661418226,0.59745110750852,-1.54624849827704,0,"Siganidae",26.9023189343875,19.8024595928476,35.2694560466732,24.1429687595301,29.4935010929641,"Se"
"100","Siganus sutor",-1.61914228806814,-0.498851649610184,1.2189261563251,-1.54624849827704,0,"Siganidae",18.4887902665766,13.491228559696,24.4872882742541,16.4777734181942,20.2138439751109,"Se"
"101","Lethrinus microdon",0.41948910960273,0.971254327715991,-0.747800620453243,-0.24637061044212,0,"Lethrinidae",50.3825485379886,39.3794643794291,63.8763464740303,45.8356130147839,54.2298735130506,"Se"
"102","Lethrinus variegatus",0.0797172099909193,-2.57084965055244,0.475034442753751,0.65259171707707,0,"Lethrinidae",46.793300237022,36.7872790438389,57.3943805449082,43.0020908318464,49.9974879951449,"Se"
"103","Lutjanus bohar",0.985775608955748,1.27220033952403,-1.90390651254673,2.93345384046971,0,"Lutjanidae",40.3695964856455,26.2256002734075,56.4179162978611,34.8913446539977,45.0345168132112,"Se"
"104","Lutjanus fulviflamma",0.476117759538032,-1.14098210990502,0.865126404010986,-1.35122941044075,0,"Lutjanidae",48.6590491066848,38.5508383142893,60.5550771671267,44.4513194138033,51.9934920514998,"Se"
"105","Lutjanus gibbus",0.759261009214541,-0.229646268609773,0.269843043515205,-1.36755406824535,0,"Lutjanidae",53.9950879137698,41.8980756333262,67.1747867023946,49.3388630246597,57.9756990300267,"Se"
"106","Lethrinus enigmaticus",0.453466213488364,0.0138796206405139,-1.17998135831694,0.65259171707707,0,"Lethrinidae",54.9529857823371,45.3742730834121,65.2756135415288,51.2152670295036,58.0467716558115,"Se"
"107","Lethrinus mahsena",-0.0335400898796844,0.440717494664166,-1.76544429176244,2.33623440656704,0,"Lethrinidae",40.090459127773,31.7535228792304,49.2339084261444,36.849307614859,42.6843064812297,"Se"
"108","Lutjanus vitta",0.351534741006098,-0.799797661418226,-0.0577650645225945,-1.9362866739496,0,"Lutjanidae",61.2918423444641,46.9286159907953,77.4706242617524,55.7859928433235,65.9939900111522,"Se"
"109","Lutjanus kasmira",0.532746409473334,-0.799797661418226,-0.662253196823028,-0.136439910781509,0,"Lutjanidae",55.7966170294113,44.3285677917992,68.6612295787897,51.0646698955333,59.2006037459019,"Se"
"110","Carangoides fulvoguttatus",0.668655169318058,2.00725332818712,0.944725922887457,-0.608029395491909,1,"Carangidae",18.5781438043096,10.9749038570064,27.2709799367112,15.2970494393572,20.8951768960905,"Se"
"111","Oxycheilinus digramma",0.425151974596261,-0.799797661418226,0.273679095644767,-0.236074807822327,0,"Labridae",40.4537546586248,31.6857761782209,50.4324256661587,36.570722218718,42.8232994793754,"Se"
"112","Scarus falcipinnis",-1.61914228806814,0.236201339052904,1.17160080713605,-0.37613397125933,0,"Scaridae",18.0436792374715,13.9337404829852,22.4526075577366,16.3947061859001,19.332914545236,"Se"
"113","Scarus niger",-1.61914228806814,-0.799797661418226,1.16507002070664,-0.37613397125933,0,"Scaridae",20.5582027404191,16.1462568875093,25.0752769642256,18.750500808385,21.8322539546237,"Se"
"114","Chlorurus sordidus",-0.916947028870393,-0.799797661418226,1.74363551058833,0.143916929897454,0,"Scaridae",20.0368299224392,14.894419176296,26.0230875708023,17.8755639090247,21.7076381892899,"Se"
"115","Scarus psittacus",-1.61914228806814,-1.53485065008131,1.52425243046314,-0.37613397125933,0,"Scaridae",20.7341624811174,16.0913927760561,25.9084175599116,18.8092201586013,22.2073464580423,"Se"
"116","Ctenochaetus binotatus",-1.61914228806814,-2.32732376130216,1.4187710538007,0.24792710981678,0,"Acanthuridae",14.879381220501,9.59723343369539,20.6547456712014,12.7281793884525,16.4716363174672,"Se"
"117","Cantherhines pardalis",0.0797172099909193,-2.00069825774399,0.905352194166149,-1.9362866739496,0,"Monacanthidae",45.42035081343,30.4976595254302,60.4348313833194,39.612469878755,49.5941802521546,"Se"
"118","Scarus tricolor",-1.61914228806814,-1.84219237967656,1.17160080713605,-0.37613397125933,0,"Scaridae",23.3833436088173,17.8349520097854,29.1462362455336,20.9568202377811,24.8646309507908,"Se"
"119","Scarus ghobban",-1.61914228806814,1.27220033952403,-0.0577650645225945,-1.15621032260447,0,"Scaridae",23.8841778598329,18.0578933974096,30.1873166567633,21.581782429654,25.7634965288158,"Se"
"120","Scarus rubroviolaceus",-1.61914228806814,0.630069879229197,-0.986402722259956,0.325934744951294,0,"Scaridae",25.4538393421836,19.0733557985464,32.3611762448792,22.6058706564214,27.1874801912798,"Se"
"121","Calotomus carolinus",-1.61914228806814,-0.0330040419475053,1.57792444516911,0.143916929897454,0,"Labridae",14.6257076068768,10.2858121973883,19.9900803223767,12.6433662021613,15.9391725928904,"Se"
"122","Zebrasoma desjardinii",-1.61914228806814,-0.799797661418226,-0.0843857684264232,0.24792710981678,0,"Acanthuridae",17.3859473185043,11.6117889907982,24.5088062181672,14.9752630027682,19.3922014770058,"Se"
"123","Acanthurus mata",-1.03113539227171,-0.182874223511877,-0.642095081017591,-0.627828218361765,0,"Acanthuridae",2.27502558450499,1.37427572425613,3.33311317598418,1.86270911019256,2.50732207396333,"Zn"
"124","Aprion virescens",1.0328133618216,1.91594062400747,-1.31076955869658,0.5855804621628,1,"Lutjanidae",2.0555198581663,1.36790132627277,2.89574026637504,1.75539969293057,2.25963429967956,"Zn"
"125","Coris formosa",-0.0749558542596311,0.291608903160043,-1.25147083554121,-1.87601436095813,0,"Labridae",2.63317019730545,1.39063206204505,4.1999031460381,2.00996135962672,2.95677838328239,"Zn"
"126","Epibulus insidiator",0.694652266518175,0.0174132031222912,0.262074264923807,-0.243727300830655,0,"Labridae",2.10681439326385,1.34679923332266,2.99452521690286,1.79115184510045,2.35027405112979,"Zn"
"127","Epinephelus fasciatus",0.33316971636624,-0.763594637411684,-1.42152256494607,1.00176940853618,0,"Serranidae",2.68535748890747,1.62287876338327,3.86712098074223,2.23643657184102,2.99064880179397,"Zn"
"128","Cephalopholis sonnerati",0.461437718033056,0.158120559125044,0.391173072844731,-0.228408653060451,0,"Serranidae",1.42791407062425,0.950750641505723,2.10591766529397,1.14834732268533,1.55236577267472,"Zn"
"129","Aethaloperca rogaa",0.91620608757904,0.291608903160043,-0.530388466005722,0.206709036161617,0,"Serranidae",1.69379534810407,1.111303426048,2.43765112364106,1.38858354680434,1.83756806891453,"Zn"
"130","Epinephelus longispinis",0.85790245045776,0.0651659584196904,-0.691709962726159,0.270865804127876,0,"Serranidae",1.83151346822169,1.22993496253918,2.63229771064425,1.51830631353698,1.989020688182,"Zn"
"131","Epinephelus spilotoceps",0.65042950814802,-1.11110369665552,-0.691709962726159,0.270865804127876,0,"Serranidae",2.21751867248751,1.40520501997273,3.10714822020832,1.89768924842147,2.47931095276293,"Zn"
"132","Hemigymnus fasciatus",0.0999551678811197,1.04028772986972,0.262074264923807,-0.243727300830655,0,"Labridae",1.92392186741164,1.22981321884678,2.78392192382338,1.59048242322596,2.11306621837246,"Zn"
"133","Cheilinus trilobatus",0.5897058083214,-0.45706992354963,1.62754825448138,-0.243727300830655,0,"Labridae",1.70966551325533,1.05942171604264,2.48970666997138,1.43900198520088,1.92493151136765,"Zn"
"134","Siganus argenteus",-0.91452798509686,-0.763594637411684,0.591653133511582,-1.50155851825411,0,"Siganidae",1.04402240659314,0.507283945077167,1.71476163578083,0.784138558831658,1.18850635374637,"Zn"
"135","Siganus sutor",-1.64915394575728,-0.45706992354963,1.22427434825294,-1.50155851825411,0,"Siganidae",0.93004537811362,0.459384506787133,1.5610421182869,0.712024909137674,1.07617555032027,"Zn"
"136","Lethrinus microdon",0.4497769906088,1.04028772986972,-0.77772570783793,-0.253611778009487,0,"Lethrinidae",1.5011567706916,1.02864101427788,2.16100266593451,1.28101856581235,1.66014155651314,"Zn"
"137","Lethrinus variegatus",0.0999551678811197,-2.56747700469309,0.467040923722603,0.609436294989787,0,"Lethrinidae",2.13689969230725,1.47539304810661,2.96971550082207,1.86051489278301,2.35817778228187,"Zn"
"138","Lutjanus bohar",1.0328133618216,1.34681244373177,-1.95456637942807,2.7991761763076,0,"Lutjanidae",3.04124568141015,1.82417668767035,4.49014508666034,2.5095154815321,3.37499291894107,"Zn"
"139","Lutjanus fulviflamma",0.50808062773008,-1.11110369665552,0.864129191161999,-1.3143305969021,0,"Lutjanidae",1.80647637734519,1.25584862192736,2.49259850273932,1.55247232735708,1.9793101777215,"Zn"
"140","Lutjanus gibbus",0.799598813336479,-0.182874223511877,0.258169413131871,-1.33000307174263,0,"Lutjanidae",1.74884111095743,1.22290815346157,2.38329099947619,1.49579731057076,1.88856875810308,"Zn"
"141","Lethrinus enigmaticus",0.484759084260039,0.0651659584196904,-1.21765761483206,0.609436294989787,0,"Lethrinidae",2.01902771648242,1.49495938804557,2.64162900275874,1.78875187887073,2.17048939688164,"Zn"
"142","Lethrinus mahsena",-0.0166521063614404,0.499916219486586,-1.81362083628013,2.22581613016438,0,"Lethrinidae",2.56067747161571,1.84352597382309,3.38512585130408,2.24509718794563,2.76316374221417,"Zn"
"143","Lethrinus nebulosus",0.4497769906088,1.25858527783341,-0.854382587253054,-0.0499617212198515,0,"Lethrinidae",1.50221711479869,1.00039797730033,2.15080629404376,1.28125992544241,1.6668764988519,"Zn"
"144","Lutjanus vitta",0.379812637723991,-0.763594637411684,-0.0753143520822617,-1.87601436095813,0,"Lutjanidae",2.03035092215382,1.36410061294308,2.84365156914413,1.70595257712866,2.21986194616184,"Zn"
"145","Lutjanus kasmira",0.56638426485136,-0.763594637411684,-0.690643989661159,-0.148072896566731,0,"Lutjanidae",2.60206956235795,1.82398102306272,3.52083620913604,2.2956069773367,2.88040091016644,"Zn"
"146","Lethrinus xanthochilus",0.4497769906088,0.692778670625879,-1.31076955869658,0.800709088354685,0,"Lethrinidae",1.91718141927697,1.39914042909876,2.56460813157444,1.68996259688563,2.0760194492313,"Zn"
"147","Oxycheilinus digramma",0.455607354320928,-0.763594637411684,0.262074264923807,-0.243727300830655,0,"Labridae",2.40883137379756,1.53897137884316,3.398212394478,2.00407058424397,2.63284224141606,"Zn"
