"","Location","Year","count","Family","Species","length","a","b","biomass.kgha","mass.g","FG.fine","lat","lon","Management","state"
"171","Mahe NW Granite","1994",3,"Acanthuridae","Acanthurus triostegus",17,0.1317,2.392,7.507124911,116,"Herbivore Grazer",-4.562673,55.436906,"Fished","Recovering"
"178","Mahe W Granite","1994",3,"Acanthuridae","Acanthurus leucosternon",20,0.1317,2.392,11.07397584,170,"Herbivore Grazer",-4.659828,55.360993,"Fished","Recovering"
"179","Mahe W Granite","1994",3,"Acanthuridae","Acanthurus leucosternon",32,0.1317,2.392,34.08462894,525,"Herbivore Grazer",-4.659828,55.360993,"Fished","Recovering"
"180","Mahe W Granite","1994",3,"Acanthuridae","Acanthurus nigrofuscus",16,0.0301,2.967,7.308773974,113,"Herbivore Grazer",-4.659828,55.360993,"Fished","Recovering"
"181","Mahe W Granite","1994",3,"Acanthuridae","Acanthurus nigrofuscus",16,0.0301,2.967,7.308773974,113,"Herbivore Grazer",-4.659828,55.360993,"Fished","Recovering"
"182","Mahe W Granite","1994",3,"Acanthuridae","Acanthurus nigrofuscus",16,0.0301,2.967,7.308773974,113,"Herbivore Grazer",-4.659828,55.360993,"Fished","Recovering"
"183","Mahe W Granite","1994",3,"Acanthuridae","Acanthurus nigrofuscus",16,0.0301,2.967,7.308773974,113,"Herbivore Grazer",-4.659828,55.360993,"Fished","Recovering"
"186","Mahe W Patch","1994",3,"Acanthuridae","Acanthurus nigrofuscus",15,0.0301,2.967,6.03508385,93,"Herbivore Grazer",-4.684675,55.434722,"Fished","Recovering"
"187","Mahe W Patch","1994",3,"Acanthuridae","Acanthurus nigrofuscus",17,0.0301,2.967,8.749082114,135,"Herbivore Grazer",-4.684675,55.434722,"Fished","Recovering"
"189","Praslin NE Carbonate","1994",3,"Acanthuridae","Acanthurus nigrofuscus",17,0.0301,2.967,8.749082114,135,"Herbivore Grazer",-4.315847,55.756687,"Fished","Shifted"
"204","Praslin SW Carbonate","1994",3,"Acanthuridae","Acanthurus nigrofuscus",15,0.0301,2.967,6.03508385,93,"Herbivore Grazer",-4.350873,55.701522,"Fished","Shifted"
"205","Praslin SW Granite","1994",3,"Acanthuridae","Acanthurus leucosternon",20,0.1317,2.392,11.07397584,170,"Herbivore Grazer",-4.313662,55.678717,"Fished","Recovering"
"206","Praslin SW Granite","1994",3,"Acanthuridae","Acanthurus leucosternon",21,0.1317,2.392,12.444813,192,"Herbivore Grazer",-4.313662,55.678717,"Fished","Recovering"
"226","Mahe E Carbonate","1994",4,"Acanthuridae","Acanthurus nigrofuscus",16,0.0301,2.967,7.308773974,113,"Herbivore Grazer",-4.710589,55.52704,"Fished","Shifted"
"228","Mahe E Granite","1994",4,"Acanthuridae","Acanthurus nigrofuscus",12,0.0301,2.967,3.112800588,48,"Herbivore Grazer",-4.734961,55.528958,"Fished","Shifted"
"229","Mahe E Granite","1994",4,"Acanthuridae","Acanthurus nigrofuscus",12,0.0301,2.967,3.112800588,48,"Herbivore Grazer",-4.734961,55.528958,"Fished","Shifted"
"230","Mahe E Granite","1994",4,"Acanthuridae","Acanthurus nigrofuscus",16,0.0301,2.967,7.308773974,113,"Herbivore Grazer",-4.734961,55.528958,"Fished","Shifted"
"249","Mahe W Granite","1994",4,"Acanthuridae","Acanthurus nigrofuscus",15,0.0301,2.967,6.03508385,93,"Herbivore Grazer",-4.659828,55.360993,"Fished","Recovering"
"250","Mahe W Granite","1994",4,"Acanthuridae","Acanthurus nigrofuscus",15,0.0301,2.967,6.03508385,93,"Herbivore Grazer",-4.659828,55.360993,"Fished","Recovering"
"251","Mahe W Granite","1994",4,"Acanthuridae","Acanthurus nigrofuscus",16,0.0301,2.967,7.308773974,113,"Herbivore Grazer",-4.659828,55.360993,"Fished","Recovering"
"254","Mahe W Patch","1994",4,"Acanthuridae","Acanthurus leucosternon",24,0.1317,2.392,17.12793919,264,"Herbivore Grazer",-4.684675,55.434722,"Fished","Recovering"
"255","Mahe W Patch","1994",4,"Acanthuridae","Acanthurus nigrofuscus",15,0.0301,2.967,6.03508385,93,"Herbivore Grazer",-4.684675,55.434722,"Fished","Recovering"
"256","Mahe W Patch","1994",4,"Acanthuridae","Acanthurus nigrofuscus",18,0.0301,2.967,10.36606829,160,"Herbivore Grazer",-4.684675,55.434722,"Fished","Recovering"
"265","Praslin SW Granite","1994",4,"Acanthuridae","Acanthurus leucosternon",18,0.1317,2.392,8.606997057,132,"Herbivore Grazer",-4.313662,55.678717,"Fished","Recovering"
"266","Praslin SW Granite","1994",4,"Acanthuridae","Acanthurus leucosternon",24,0.1317,2.392,17.12793919,264,"Herbivore Grazer",-4.313662,55.678717,"Fished","Recovering"
"288","Mahe E Carbonate","1994",5,"Acanthuridae","Acanthurus nigrofuscus",15,0.0301,2.967,6.03508385,93,"Herbivore Grazer",-4.710589,55.52704,"Fished","Shifted"
"293","Mahe E Patch","1994",5,"Acanthuridae","Acanthurus nigrofuscus",14,0.0301,2.967,4.917930927,76,"Herbivore Grazer",-4.703574,55.528198,"Fished","Recovering"
"294","Mahe E Patch","1994",5,"Acanthuridae","Acanthurus nigrofuscus",16,0.0301,2.967,7.308773974,113,"Herbivore Grazer",-4.703574,55.528198,"Fished","Recovering"
"301","Mahe NW Granite","1994",5,"Acanthuridae","Acanthurus triostegus",9,0.1317,2.392,1.639788759,25,"Herbivore Grazer",-4.562673,55.436906,"Fished","Recovering"
"302","Mahe NW Granite","1994",5,"Acanthuridae","Acanthurus triostegus",16,0.1317,2.392,6.493738873,100,"Herbivore Grazer",-4.562673,55.436906,"Fished","Recovering"
"303","Mahe NW Granite","1994",5,"Acanthuridae","Acanthurus triostegus",17,0.1317,2.392,7.507124911,116,"Herbivore Grazer",-4.562673,55.436906,"Fished","Recovering"
"304","Mahe NW Granite","1994",5,"Acanthuridae","Acanthurus triostegus",19,0.1317,2.392,9.795315655,151,"Herbivore Grazer",-4.562673,55.436906,"Fished","Recovering"
"310","Mahe W Granite","1994",5,"Acanthuridae","Acanthurus lineatus",25,0.0126,3.064,15.71494187,242,"Herbivore Grazer",-4.659828,55.360993,"Fished","Recovering"
"311","Mahe W Granite","1994",5,"Acanthuridae","Acanthurus nigrofuscus",16,0.0301,2.967,7.308773974,113,"Herbivore Grazer",-4.659828,55.360993,"Fished","Recovering"
"319","Mahe W Patch","1994",5,"Acanthuridae","Naso elegans",30,0.0497,2.839,50.41475699,776,"Herbivore Browser",-4.684675,55.434722,"Fished","Recovering"
"320","Mahe W Patch","1994",5,"Acanthuridae","Naso elegans",31,0.0497,2.839,55.33326345,852,"Herbivore Browser",-4.684675,55.434722,"Fished","Recovering"
"336","Praslin SW Granite","1994",5,"Acanthuridae","Acanthurus leucosternon",22,0.1317,2.392,13.90960748,214,"Herbivore Grazer",-4.313662,55.678717,"Fished","Recovering"
